Title,Price,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Condition,Quantity,Description 1,Description 2,Description 3,Description 4,Description 5,Description 6,Description 7,Description 8,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Policy,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM,META_purchaseCost,META_fullCost,META_sellPrice
Mozart Effect Music for Children Series CD Set - Set of 3,$39.99,Toys & Games,Toys,Educational Toys,,,,New,10000,"Mozart Effect Music for Children Series CD Set contains 3 CDs including &quot;Tune Up Your Mind&quot;, &quot;Relax, Daydream and Draw&quot; and &quot;Mozart in Motion&quot;.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596991&Rendition=Small,,,,,INSTRUCTIONAL SOLUTIONS,EARLY LEARNING,EC MUSIC,CDS/DVDS/CASSETTES,,School Specialty,004927,EACH,$29.99,$34.49,$39.99
Post-it Notes - 3 x 3 - 100 Sheets Per Pad - Pack of 5 - Assorted Ultra Colors,$8.39,Office Supplies,General Supplies,Paper Products,Sticky Notes,,,New,10000,"Post-it Standard Pack Note Pad in ultra colors is 3 in x 3 in sized for messages and ensures that it draws attention with its bright and fresh colors. Ultra colored pads include grape, turquoise, fuchsia, ultra yellow and limeade. Sold as 5 pad per pack, ",100 sheets per pad.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596999&Rendition=Small,,,,,SUPPLIES,OFFICE SUPPLIES,SELF STICKING NOTES,NOTES,,School Specialty,005046,PACK OF 5,$6.29,$7.23,$8.39
Rapper Snapper Fidget - Set of 15,$22.99,Health & Beauty,Health Care,,,,,New,10000,"The Rapper Snapper is a fascinating corrugated tube that provides auditory, visual and tactile feedback while strengthening upper extremity musculature. A Rapper Snapper can be stretched to its full length of 3&quot; (76cm) or crunched back down to 8&quot","; (2cm). It can be twisted and bent into an endless number of shapes and designs connected together to form one long tube or stretched and twirled to create a whistling sound. Set of 15. Set of 15 Audible, tactile and visual aid for special education Prom","otes muscle strengthening Pull, crunch, bend, and twist From the award winning Abilitations line of Special Needs Solutions",,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1597409&Rendition=Small,,,,,INSTRUCTIONAL SOLUTIONS,SPECIAL NEEDS,FINE MOTOR,MANIPULATIVES,,School Specialty,005092,EACH,$17.24,$19.83,$22.99
Wham-O World Class Ultimate Frisbee Disc with DVD - 175 grams - Assorted Colors,$12.19,Sporting Goods,Exercise & Fitness,,,,,New,10000,Wham-O Frisbee World Class Ultimate Flying Disc is the best known flying Ultimate Flying Disc in the world and weighs only 175 g.,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1598729&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,LEADUP SKILLS,FLYING DISCS,,School Specialty,005113,EACH,$9.14,$10.51,$12.19
"Large Wiggly Giggly Ball by Toysmith (assorted colors, sold individually)",$14.99,Health & Beauty,Health Care,,,,,New,10000,"Toysmith Wiggly Giggly Ball measures 7 in and is a great motivator for play as well as an excellent auditory stimulating tool. This ball is made of soft plastic, is an ideal auditory excursion and features finger holes for easy rolling/tossing. This ball ",produces a wacky sound with its every motion.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1597032&Rendition=Small,,,,,INSTRUCTIONAL SOLUTIONS,SPECIAL NEEDS,SENSORY SOLUTIONS,CAUSE/EFFECT,,School Specialty,005519,EACH,$11.24,$12.93,$14.99
Abilitations Integrations Six-Leg Ball Chair - 25 1/2 inch - Green,$35.99,Sporting Goods,Exercise & Fitness,,,,,New,10000,"Sportime 25-1/2 in Dia Ball Chair with Storage Leg is an ideal classroom tool that is perfect for children with SI, ADD, low tone or processing disorders. Ball chair made of anti-burst material has 6 built-in legs to eliminate roll-away. Colorful ball cha","ir great for children and adults stands for burst resistance quality. Users work on aerobic exercises, stretching, strengthening, relaxation and can be used by students just sitting at their desks working. It helps to develop balance, rhythm, coordination",", postural control, sensory integration and fitness.",,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1621037&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,BALLS,SUPER-SIZED/THERAPY,,School Specialty,005651,EACH,$26.99,$31.04,$35.99
Cramer Weighted Bowling Pins - Set of 10,$67.99,Sporting Goods,Indoor Games,Bowling,,,,New,10000,"Cramer Weighted Plastic Bowling Pin comes with pattern setup sheet and score pad. Regulation sized pin offers more realism with more actions, greater stability and is sold as 10 per set.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1597042&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,SPORTS,BOWLING,,School Specialty,005753,EACH,$50.99,$58.64,$67.99
Sportime NoKink Hoops - 24 inch - Set of 12 - 6 Colors,$57.99,Sporting Goods,Exercise & Fitness,,,,,New,10000,"Sportime NoKink Hoop Set includes 2 each of red, blue, yellow, green, violet and orange. Set of 12 hoops each of 24 in is suitable for ages to use for a variety of skill developing activities. They make good targets and markers. Hoops are ideal for teachi","ng and directing movement in dance, gymnastics, athletic and recreational programs.",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1597050&Rendition=Small,,,,,SUPPLIES,PHYSICAL EDUCATION,LEADUP SKILLS,HOOPS,,School Specialty,005930,EACH,$43.49,$50.01,$57.99
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - White,$2.59,Office Supplies,General Supplies,Paper Products,,,,New,10000,"Bordette Pacon Decorative Scalloped Border in white color, comes with the colorful trims to add elegant finishing touch to bulletin boards and your other classroom projects. Border is sold in a roll size of 2-1/4 in x 50 ft.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1597076&Rendition=Small,,,,,SUPPLIES,PAPER,DECORATIVES,BORDERS/TRIMMERS,,School Specialty,006057,EACH,$1.94,$2.23,$2.59
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Brown,$2.59,Office Supplies,General Supplies,Paper Products,,,,New,10000,"Bordette Pacon Decorative Scalloped Border in brown color, comes with the colorful trims to add elegant finishing touch to bulletin boards and your other classroom projects. Border is sold in a roll size of 2-1/4 in x 50 ft.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1597078&Rendition=Small,,,,,SUPPLIES,PAPER,DECORATIVES,BORDERS/TRIMMERS,,School Specialty,006060,EACH,$1.94,$2.23,$2.59
