Title,Price,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Condition,Quantity,Description 1,Description 2,Description 3,Description 4,Description 5,Description 6,Description 7,Description 8,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Policy,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM,META_purchaseCost,META_fullCost,META_sellPrice
School Smart Push Pins - 3/8 inch Pins - Box of 100 - Clear,$1.39,Office Supplies,General Supplies,Tacks & Pushpins,,,,New,10000,"School Smart Clear Push Pin featuring 1/2 in plastic grip heads with 3/8 in ground steel points is the ideal choice for bulletin boards. This push pin is easier to grip for pinning and removing from bulletin boards than the conventional thumb tacks, sold ",as 100 per pack.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1596902&Rendition=Small,,,,,SUPPLIES,OFFICE SUPPLIES,CLIPS/FASTENERS/RUBBER BANDS,PINS,,School Specialty,003354,PACK OF 100,$1.04,$1.20,$1.39
Ecology Recycled Chart pads - 24 x 32 inches - 1 inch Rule - 70 sheets per pad,$26.49,Office Supplies,Presentation Supplies,Easel Pads,,,,New,10000,"Pacon Ecology Recycled Chart Pad heightens your &quot;Whole Language&quot; studies while taking steps to protect the environment. Recycled 1 in ruled paper measuring 24 in x 32 in, is padded and taped to a heavy chip back with an attractive dual colored c","over with an upper and lowercase alphabet in cursive writing. Drilled perfectly to fit our easel or chart stands, it is sold as 70 sheets per pad.",,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1753086&Rendition=Small,,,,,SUPPLIES,PAPER,STUDENT PAPER,CHART TABLETS,,School Specialty,006426,EACH,$19.87,$22.85,$26.49
School Smart Ruled Sentence Strips - 3 inch x 24 inch - Pack of 100 - Assorted Colors,$3.69,Office Supplies,General Supplies,Paper Products,,,,New,10000,"School Smart Rainbow Sentence Strips measure 3 in x 24 in with a 1-1/2 in blue ruling, 3/4 in dotted midline and 1 in descender space. It is an assortment of blue, pink, canary, orange, green and is sold as 100 per pack.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1597146&Rendition=Small,,,,,SUPPLIES,PAPER,STUDENT PAPER,SENTENCE STRIPS,,School Specialty,006465,PACK OF 100,$2.77,$3.19,$3.69
School Smart Ruled Sentence Strips - 3 inch by 24 inch - Pack of 100 - Manila,$3.49,Office Supplies,General Supplies,Paper Products,,,,New,10000,"School Smart Sentence Strip with manila tag measures 3 in x 24 in and contains 1-1/2 in blue ruling, 3/4 in dotted midline and 1 in descender space. Strip is sold as 100 per pack.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1597146&Rendition=Small,,,,,SUPPLIES,PAPER,STUDENT PAPER,SENTENCE STRIPS,,School Specialty,006468,PACK OF 100,$2.62,$3.01,$3.49
School Smart Ruled Sentence Strips - 3 In x 24 In - Pack of 100,$3.49,Office Supplies,General Supplies,Paper Products,,,,New,10000,"School Smart White Sentence Strips measure 3 in x 24 in with a 1-1/2 in blue ruling, 3/4 in dotted midline, 1 in descender space and is sold as 100 per pack.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1597146&Rendition=Small,,,,,SUPPLIES,PAPER,STUDENT PAPER,SENTENCE STRIPS,,School Specialty,006471,PACK OF 100,$2.62,$3.01,$3.49
Crayola Crayons in Tuck Box - 3 5/8 x 5/16 inches - Set of 24 - Assorted Colors,$1.99,Office Instruments,Writing & Drawing Instruments,Crayons,,,,New,10000,"Crayola Wax Crayon Set of 24 colors measuring 3 5/8 in x 5/16 in are economical and comes with a wide range of colors that makes it popular with schools. Crayons are non-toxic, fine and double paper wrapped wax.",,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F2332910&Rendition=Small,,,,,SUPPLIES,ART SUPPLIES,CRAYONS,STANDARD CRAYONS,,School Specialty,007521,SET OF 24,$1.49,$1.71,$1.99
Crayola Anti-Dust Chalkboard Chalk - Box of 12 - White,$0.99,Office Supplies,Office Instruments,Writing & Drawing Instruments,Chalk,,,New,10000,Crayola Anti-Dust Chalkboard Chalk is ideal for use on all chalkboards and produces finest low dust. White chalk that makes clean and smooth lines without chalk dust mess is sold as 12 per pack.,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1597353&Rendition=Small,,,,,SUPPLIES,WRITING,CHALK,CHALKBOARD,,School Specialty,008034,PACK OF 12,$0.74,$0.85,$0.99
Crayola Classic Broad Line Markers - Set of 8 - Assorted Colors,$3.99,Office Supplies,Office Instruments,Writing & Drawing Instrument Accessories,,,,New,10000,Crayola Classic Original Marker Set containing markers in classic colors are durable and does not bleed through most paper. Marker is Non-Toxic and set includes 8 markers.,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1753107&Rendition=Small,,,,,SUPPLIES,ART SUPPLIES,ART MARKERS,STANDARD MARKERS,,School Specialty,008148,SET OF 8,$2.99,$3.44,$3.99
Crayola Broad Line Washable Markers - Set of 8 - Assorted Colors,$3.99,Office Supplies,Office Instruments,Writing & Drawing Instrument Accessories,,,,New,10000,Crayola Classic Colors Washable Marker Set is especially designed to easily wash from skin and many children?ÇÖs clothing. Set includes 8 markers that have conical tips.,,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1597374&Rendition=Small,,,,,SUPPLIES,ART SUPPLIES,ART MARKERS,WASHABLE MARKERS,,School Specialty,008196,SET OF 8,$2.99,$3.44,$3.99
Crayola Washable Watercolors - Set of 16 - Assorted Colors,$4.19,Arts & Entertainment,Hobbies & Creative Arts,Crafts & Hobbies,Drawing & Painting,Painting,Art Paint,New,10000,Crayola Washable Semi-Moist Watercolor Paint Set including a brush features Non-Toxic and semi-moist colors that lift easily from the pan. Oval pan set has brilliant watercolors being specially formulated to wash from skin and nearly all children&#39;s cl,othing. Set contains 16 assorted watercolors.,,,,,,,No,No,Free shipping over $49,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/xxssi_ibeGetWCCImage.jsp?docName=F1597438&Rendition=Small,,,,,SUPPLIES,ART SUPPLIES,PAINT,WATERCOLOR PAINT,,School Specialty,008685,EACH,$3.14,$3.61,$4.19
