Title,Price,Cat_ID,Sub-category,Sub-subcategory,Condition,Quantity,Description,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5,META_SUPPLIER,META_SKU,META_UOM
Wire Clay Cutter,1.99,19,,,New,10000,Used for slicing and cutting lump clay. Also cuts pots and other items from the throwing head of a potter's wheel. 3 hardwood toggle handles are firmly fastened to approximately 18 of fine quality stainless steel wire.</p> <b> </b> <ul> <li>Quantity One</,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=912869&encrypt=.jpg,,,,,Art,ART SUPPLIES,CERAMICS/SCULPTURE,TOOLS CERAMICS,,School Specialty,1005537,EACH
Baumgartens Hang-Up Clothesline with Clips - 18 x 30 - Multiple Colors,13.79,19,,,New,10000,"18' long with bungee type cord. Stretches to 30 feet. Includes 25 pre-attached, non-scratching spring clips. Great for displaying student work.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=756506&encrypt=.jpg,,,,,Art,ART SUPPLIES,CRAFTS,GENERAL CRAFTS,,School Specialty,1005538,EACH
Kimbo Educational Cool Aerobics For Kids CD - Includes Instruction Guide,16.99,10,,,New,10000,"Work out to songs and awesome routines that include breathing exercises, a warm-up, creative aerobic exercise and a cool down. Ages 3-7.</p> <b> </b> <ul> <li>Quantity One</li> <li>Classroom tested and ready for home or school</li> <li>Great for home or s",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=797348&encrypt=.jpg,,,,,Physical Education,EARLY LEARNING,EC MUSIC,CDS/DVDS/CASSETTES,,School Specialty,1005566,EACH
Champion Bowling Pins Non Weighted Pins,47.49,8,,,New,10000,Regulation sized. The weighted pins provide even greater realism with more pin action and greater stability. Pin sets come complete with pattern setup sheet and scorepad.,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=788358&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,SPORTS,BOWLING,,School Specialty,1005615,EACH
"Sportime Poly Playground Balls - 8 1/2 inch - Set of 6 - Red, Yellow, Blue, Green, Orange, Violet",35.99,8,,,New,10000,"These balls are constructed through a rotational molding process which converts liquid vinyl, rotating inside a heated mold, into a seamless inflatable ball. Through this process, we've been able to duplicate the feel, texture and weight of our playground",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=763427&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,BALLS,PLAYGROUND BALLS,,School Specialty,1005620,EACH
Sportime Gymnic Exercise and Play Ball with Thick Vinyl Exterior - 21 1/2 inches - Orange,26.99,8,,,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=480904&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=480583&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=788678&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,BALLS,SUPER-SIZED/THERAPY,,School Specialty,1005622,EACH
Sportime Numbered Hopsackers for Sack Racing - Large - Set of 6 - Assorted Colors,79.99,8,,,New,10000,Built for hop sack racing with a flat floor. It has superstitch seams for durability and two handles for holding on. Each set consists of one each of three primary and secondary colors and bold numerals one through six. Each number is further supported by,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=922966&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,LEADUP SKILLS,JUMPING,,School Specialty,1005626,EACH
Sportime Heavy Duty Nylon Bean Bags - 5 x 5 - Set of 12 - Assorted Colors,13.79,8,,,New,10000,"Ruggedly sewn heavy nylon covers with hand-conforming pellet fill. 5"" bean bags come in a set of 12 assorted colors.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=762476&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,LEADUP SKILLS,BEANBAGS,,School Specialty,1005654,SET OF 12
Sportime Hand Balls SureKatch Ball with Catching Loops - 4 inches - Multicolor,7.29,8,,,New,10000,"SureKatch is a ball designed to help build confidence and self esteem through successful use of motor skills and the development of hand-eye coordination. Features a 4"" diameter (10.2 cm) with patented, multi-colored ABS plastic loops that are easy to cat",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1031234&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,LEADUP SKILLS,THROWING/CATCHING,,School Specialty,1005660,EACH
Crayola Non-Toxic Dough - 3 pounds - Green,9.19,19,,,New,10000,"Smooth, squeezable dough responds easily to small hands. Children will be delighted to see their colorful three-dimensional creations! Safe, non-toxic formula leaves no residue or spots and resists crumbling. Convenient 3 lb. size in a plastic container i",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=752789&encrypt=.jpg,,,,,Art,ART SUPPLIES,CERAMICS/SCULPTURE,MODELING DOUGH,,School Specialty,1006285,EACH
Sportime Timetracker Contempo Dual Mode Stop Watch - Yellow,8.99,8,,,New,10000,"Dual Mode Buttons And Easy-Read 1/2"" Displays. Our best single-event TimeTracker features crisp 1/100 sec, 1/2""H (13mm) digit display. The Contempo's internal steel case makes it one of the most durable single events around. Its teardrop shape is comforta",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1031258&encrypt=.jpg,,,,,Physical Education,PHYSICAL EDUCATION,ORGANIZATION,TIMERS/STOPWATCHES,,School Specialty,1012576,EACH
Abilitations Button Tree - Multiple Colors,18.99,10,,,New,10000,"The Button Tree is highly motivating and contains the repetition needed for learning unbuttoning and buttoning skills. A great fine-motor tool, the Button Tree breaks skills into 2 levels. Side 1 contains a basketful of large red buttons and felt apples t",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc,10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1079094&encrypt=.jpg,,,,,Special Needs,SPECIAL NEEDS,FINE MOTOR,MANIPULATIVES,,School Specialty,1013106,EACH
