Title,Price,Category,Sub-category,Sub-subcategory,Condition,Quantity,Description,Local_Pickup_yes_or_no,Free_Shipping_yes_or_no,Shipping_Cost,Return_Policy,Nonprofit,Percent_Donated,Main_Image_URL,Image_URL_2,Image_URL_3,Image_URL_4,Image_URL_5,Tag_1,Tag_2,Tag_3,Tag_4,Tag_5
Mozart Effect Music for Children Series CD Set - Set of 3,39.99,EARLY LEARNING,EC MUSIC,CDS/DVDS/CASSETTES,New,10000,"The Mozart Effect Series includes Tune Up Your Mind, Relax, Daydream and Draw and Mozart in Motion. 3 CD set.</p> <b> </b> <ul> <li>Set of 3</li> <li>Excellent relaxation tool for art or music classes</li> <li>Contributes to students artistic development<",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1028995&encrypt=.jpg,,,,,School Specialty,SKU: 004927,UOM: EACH,,
Post-it Notes - 3 x 3 - 100 Sheets Per Pad - Pack of 5 - Assorted Ultra Colors,8.39,OFFICE SUPPLIES,SELF STICKING NOTES,NOTES,New,10000,"Fresh, bright colors for messages that really attract attention! 5-packs contain 3"" x 3"" pads, 1 pad each ultra color: Grape, Turquoise, Fuchsia, Ultra Yellow and Limeade. 100 sheets/pad.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1049953&encrypt=.jpg,,,,,School Specialty,SKU: 005046,UOM: PACK OF 5,,
Rapper Snapper Fidget - Set of 15,22.99,SPECIAL NEEDS,FINE MOTOR,MANIPULATIVES,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=21205&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=21204&encrypt=.jpg"" height=""200"" alt=""Image",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=780932&encrypt=.jpg,,,,,School Specialty,SKU: 005092,UOM: EACH,,
Wham-O World Class Ultimate Frisbee Disc with DVD - 175 grams - Assorted Colors,12.19,PHYSICAL EDUCATION,LEADUP SKILLS,FLYING DISCS,New,10000,"<img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=374414&encrypt=.jpg"" height=""200"" alt=""Image 1"" /> <img src=""https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=373790&encrypt=.jpg"" height=""200"" alt=""Ima",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=768053&encrypt=.jpg,,,,,School Specialty,SKU: 005113,UOM: EACH,,
"Large Wiggly Giggly Ball by Toysmith (assorted colors, sold individually)",14.99,SPECIAL NEEDS,SENSORY SOLUTIONS,CAUSE/EFFECT,New,10000,"Wiggly Giggly is a great motivator for play as well as an excellent auditory stimulating tool. This fun ball features finger holes for easy rolling, tossing and makes a wacky sound with its every motion. Made from a soft plastic that gives when you press ",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=780585&encrypt=.jpg,,,,,School Specialty,SKU: 005519,UOM: EACH,,
Abilitations Integrations Six-Leg Ball Chair - 25 1/2 inch - Green,35.99,PHYSICAL EDUCATION,BALLS,SUPER-SIZED/THERAPY,New,10000,"Ball Chairs are a terrific classroom tool. Ideal for children with SI, ADD, low tone or processing disorders. Six stability legs keep the seat in place when in use or not in use. Anti-burst material for added safety. Choose size by measuring the individua",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=783889&encrypt=.jpg,,,,,School Specialty,SKU: 005651,UOM: EACH,,
Cramer Weighted Bowling Pins - Set of 10,67.99,PHYSICAL EDUCATION,SPORTS,BOWLING,New,10000,Regulation sized and colored pins. Weighted pins provide even greater realism with more pin action and greater stability. Pin sets come complete with pattern setup sheet and score pad. Latex free.,No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=764246&encrypt=.jpg,,,,,School Specialty,SKU: 005753,UOM: EACH,,
Sportime NoKink Hoops - 24 inch - Set of 12 - 6 Colors,57.99,PHYSICAL EDUCATION,LEADUP SKILLS,HOOPS,New,10000,"NoKinks are a round, hollow, and light hoop with a patented plastic formula that renders them virtually free from kinking, by even your roudiest students! No-Kink Hoops are ideal for teaching and directing movement in dance, gymnastic, athletic and recrea",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=1029163&encrypt=.jpg,,,,,School Specialty,SKU: 005930,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - White,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=925867&encrypt=.jpg,,,,,School Specialty,SKU: 006057,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Brown,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=753577&encrypt=.jpg,,,,,School Specialty,SKU: 006060,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Flame Red,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=925870&encrypt=.jpg,,,,,School Specialty,SKU: 006063,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Canary Yellow,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=925874&encrypt=.jpg,,,,,School Specialty,SKU: 006066,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Orange,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=925878&encrypt=.jpg,,,,,School Specialty,SKU: 006069,UOM: EACH,,
Pacon Bordette Decorative Scalloped Border - 2 1/4 inches x 50 feet - Nile Green,2.59,PAPER,DECORATIVES,BORDERS/TRIMMERS,New,10000,"Colorful trims add the finishing touch to bulletin boards and other classroom projects. Roll size: 2 1/4"" x 50'.",No,No,0,Call for return authorization within 15 days,Huterra Foundation Inc),10,https://store.schoolspecialty.com/OA_HTML/ibcGetAttachment.jsp?cItemId=753586&encrypt=.jpg,,,,,School Specialty,SKU: 006072,UOM: EACH,,
